country,region,priority,broker_name,website,email,phone,description,ipmi_score,ipmi_verdict,source,run_date
Iceland,Small Europe,medium,AXA Global Healthcare,https://uk.linkedin.com/company/axaglobalhealthcare,,,"Offering cross-border health insurance to businesses and private individuals, we support customers living in more than 190 countries. call us on +44 (0) 1892 ...",92,"🟢 Strong IPMI match — AXA Global Healthcare explicitly offers cross-border health insurance to businesses and individuals across 190+ countries, which is the core definition of an IPMI broker.",LinkedIn Search,2026-07-20
Panama,LATAM,high,Panama Health Insurance for Expats,https://www.pacificprime.com/country/americas/panama-health-insurance-pacific-prime/,,,Best International Health Insurance Plans for Expats in Panama · Cigna Global Insurance Plan · AXA · Blue Cross Blue Shield Global Solutions.,92,"🟢 Strong IPMI match — Pacific Prime actively distributes international health insurance plans from major global insurers (Cigna Global, AXA, Blue Cross Blue Shield) specifically to expatriates in Panama, which is a core IPMI broker function.",SerpApi Supplementary,2026-07-20
Costa Rica,LATAM,high,Mejor seguro de salud internacional en Costa Rica para ...,https://www.pacificprime.lat/es/country/costa-rica-health-insurance/,,,"IMG ofrece planes de seguro de salud internacional rentables para expatriados en Costa Rica, lo que te permite personalizar la duración y el área de cobertura, ...",90,🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker offering customizable international health insurance plans specifically for expatriates in Costa Rica with flexible coverage options.,SerpApi Supplementary,2026-07-20
Global,Global,medium,AXA Partners US,/axa-partners-us,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — AXA Partners US is a subsidiary of AXA Group that actively distributes international private medical insurance to expatriates and globally mobile individuals across multiple countries.,iPMI Global Directory,2026-07-20
Global,Global,medium,Cigna Healthcare,/cigna-healthcare,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — Cigna is a major global insurance company that actively sells international private medical insurance and expat health coverage through its worldwide operations and networks.,iPMI Global Directory,2026-07-20
Global,Global,medium,UnitedHealthcare Global,/unitedhealthcare-global,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — UnitedHealthcare Global is a division of UnitedHealth Group that actively provides international health insurance products and services to expatriates and globally mobile individuals across multiple countries.,iPMI Global Directory,2026-07-20
Global,Global,medium,Trawick International,/trawick-international,,,Listed in iPMI Global industry directory,85,"🟢 Strong IPMI match — Trawick International is a recognized IPMI broker specializing in international health insurance products for expatriates and globally mobile individuals, with established presence in the iPMI Global Directory.",iPMI Global Directory,2026-07-20
Global,Global,medium,Medium enterprise (75-149),,,,Listed on AXA Global Healthcare Broker,85,"🟢 Strong IPMI match — AXA Global Healthcare Broker is a legitimate IPMI distribution platform operated by AXA, a major global insurer, that facilitates the sale of international health insurance to expatriates and globally mobile individuals.",AXA Global Healthcare Broker,2026-07-20
Malaysia,South/SE Asia,high,International Citizens Insurance,https://www.linkedin.com/company/international-citizens-insurance,,,"Building a better resource for organizations, groups, expatriates, and global nomads to buy international health, life, and travel insurance.",85,"🟢 Strong IPMI match — Company explicitly describes itself as a resource for expatriates and global nomads to purchase international health insurance, indicating active IPMI brokerage operations.",LinkedIn Search,2026-07-20
Malaysia,South/SE Asia,high,TFG Global Insurance Solutions Ltd.,https://ca.linkedin.com/company/tfg-global-insurance-solutions-ltd.,,,"... international health insurance, expatriate life and disability insurance ... insurance broker. Locations. Primary. #1500 - 701 West Georgia Street.",85,"🟢 Strong IPMI match — Company explicitly describes itself as an insurance broker offering international health insurance and expatriate life/disability insurance, with a presence in Malaysia and Canada, indicating active IPMI distribution.",LinkedIn Search,2026-07-20
